text;PhraseIntent
wie kann man eine neue sim karte bestellen;account_start_stuff
wie kann man eine sim karte bestellen;account_start_stuff
wie komme ich an eine physische sim-karte;account_start_stuff
wie komme ich an meine simcard;account_start_stuff
wie komme ich zu einer esim;account_start_stuff
wie komme ich zur plastik sim karte;account_start_stuff
wie muss man als neu kunde eine karte bestellen;account_start_stuff
wir brauchen eine ersatzkarte;account_start_stuff
wo beauftrage ich die plastik sim karte;account_start_stuff
wo bekomme ich die sim karte her;account_start_stuff
wo bekomme ich die sim-karte;account_start_stuff
wo bekomme ich die simkarte;account_start_stuff
wo bekomme ich diese sim karte;account_start_stuff
wo bekomme ich eine esim her;account_start_stuff
wo bekomme ich eine plastik sim karte her;account_start_stuff
wo bekomme ich eine sim;account_start_stuff
wo bekomme ich eine simkarte;account_start_stuff
wo bekomme ich sim karten von euch her;account_start_stuff
wo bestelle ich die sim-karte;account_start_stuff
wo bestelle ich die sim-karte in meinem account;account_start_stuff
wo bestelle ich eine normale simkarte;account_start_stuff
wo bestelle ich eine simkarte;account_start_stuff
wo finde ich eine esim;account_start_stuff
wo kann ich die esim buchen;account_start_stuff
wo kann ich die plastik-sim bestellen;account_start_stuff
wo kann ich ein mobiles gerät hinzufügen;account_start_stuff
wo kann ich eine e sim bestellen;account_start_stuff
wo kann ich eine esim beantragen kostenfrei;account_start_stuff
wo kann ich eine karte bestellen;account_start_stuff
wo kann ich eine sim bestellen;account_start_stuff
wo kann ich eine sim karte bekommen;account_start_stuff
wo kann ich eine sim-karte bestellen;account_start_stuff
wo kann ich eine simkarte bestellen;account_start_stuff
wo kann ich eine simkarte kaufen;account_start_stuff
wo kann ich in meinem sipgate starter account die esim zusätzlich aktivieren;account_start_stuff
wo kann ich meine sim-karte bestellen;account_start_stuff
wo kann ich normale sim karte beantragen;account_start_stuff
wo kann man die sim-karte bestellen;account_start_stuff
wo kann man eine plastik sim karte bestellen;account_start_stuff
wo oder wie bekomme ich eine plastik sim karte;account_start_stuff
woe bestelle ich eine simkarte;account_start_stuff
woher bekomme ich die karte;account_start_stuff
woher bekomme ich eine esim;account_start_stuff
woher bekomme ich meine esim;account_start_stuff
woher krieg ich die sim karte;account_start_stuff
würde gerne eine esim einrichten;account_start_stuff
zu meinem bestehenden sipgate account möchte ich eine esim buchen;account_start_stuff
aktivierung der esim;account_start_stuff
aktivierung esim;account_start_stuff
aktivierung sim card für mobilteleon;account_start_stuff
bitte sim karte aktivieren;account_start_stuff
e sim aktivieren;account_start_stuff
e sim aktivierung möglichkeiten;account_start_stuff
e sim einrichten;account_start_stuff
e sim einrichtende;account_start_stuff
e sim kann ich nicht aktivieren;account_start_stuff
e sim neu installieren;account_start_stuff
e-sim aktiveren;account_start_stuff
e-sim aktivieren;account_start_stuff
e-sim auf apple 12 mini aktivieren;account_start_stuff
einrichten einer esim;account_start_stuff
esim aktivieren;account_start_stuff
esim aktivieren im inland;account_start_stuff
esim aktivierung;account_start_stuff
esim einrichten;account_start_stuff
esim karte ist immer noch nicht aktiviert;account_start_stuff
esim lässt sich nicht aktivieren;account_start_stuff
esim manuell aktivieren;account_start_stuff
esim qr code erstellen;account_start_stuff
esim wieder aktivierung;account_start_stuff
essig karte lässt sich nicht aktivieren;account_start_stuff
fehler bei esim aktivierung;account_start_stuff
freischaltung esim;account_start_stuff
habe die sim gerade aktiviert;account_start_stuff
hallo wie kann ich eine esim aktivieren;account_start_stuff
hallo wo kann ich die e-sim aktivieren;account_start_stuff
hallo würde gerne esim aktivieren;account_start_stuff
handy esim einrichten;account_start_stuff
ich benötige einen qr code;account_start_stuff
ich erhalten den qr-code nicht;account_start_stuff
ich kann esim nicht aktivieren;account_start_stuff
ich kann meine esim nicht aktivieren;account_start_stuff
ich kann meine sim nicht aktivieren;account_start_stuff
ich möchte eine esim aktivieren;account_start_stuff
ich möchte meine esim aktivieren;account_start_stuff
ich versuche eine esim zu aktivieren;account_start_stuff
ich will esim karte aktivieren;account_start_stuff
meine esim aktiviert nicht;account_start_stuff
möchte esim einrichten;account_start_stuff
neue esim aktivieren;account_start_stuff
neuer esim qr code;account_start_stuff
neuer qr code;account_start_stuff
sim aktivieren;account_start_stuff
sim kart aktivieren;account_start_stuff
sim karte aktivieren;account_start_stuff
sim karte kann nicht aktiviert werden;account_start_stuff
sim lässt sich nicht aktivieren;account_start_stuff
simkarte aktivieren;account_start_stuff
wie aktivere ich die esim;account_start_stuff
wie aktiviere ich die esim;account_start_stuff
wie aktiviere ich e sim;account_start_stuff
wie aktiviere ich eine esim;account_start_stuff
wie aktiviere ich eine esim card;account_start_stuff
wie aktiviere ich esim;account_start_stuff
wie aktiviere ich meine e-sim;account_start_stuff
wie aktiviere ich meine esim;account_start_stuff
wie aktiviere ich nun meine esim;account_start_stuff
wie bekomme ich den qr-code;account_start_stuff
wie einrichten esim watch;account_start_stuff
wie funktioniert die aktivierung der e-sim;account_start_stuff
wie installiere ich eine e sim;account_start_stuff
wie kann ich das esim aktivieren;account_start_stuff
wie kann ich die esim aktivieren;account_start_stuff
wie kann ich die esim einrichten;account_start_stuff
wie kann ich die kostenlose sim-karte aktivieren;account_start_stuff
wie kann ich die sim card aktivieren;account_start_stuff
wie kann ich die sim karte;account_start_stuff
wie kann ich eine esim aktivieren;account_start_stuff
wie kann ich esim aktivieren;account_start_stuff
wie kann ich esim aktivieren n;account_start_stuff
wie kann ich esim we code bekommen;account_start_stuff
wie kann ich mein e-sim aktivieren;account_start_stuff
wie kann ich meine esim aktivieren;account_start_stuff
wie kann ich meine karte aktivieren;account_start_stuff
wie kann ich meine sim-karte aktivieren;account_start_stuff
wie lade ich die e sim runter;account_start_stuff
wie mache ich meine esim an;account_start_stuff
wie richte ich eine virtuelle sim ein;account_start_stuff
wie richte ich esim ein;account_start_stuff
wie wie kann ich die esim aktiviere;account_start_stuff
wie wird das qr code geschickt;account_start_stuff
wie wird die sim-karte aktiviert;account_start_stuff
wie wird esim aktiviert;account_start_stuff
wir aktiviere ich esim;account_start_stuff
wo aktiviere ich die esim;account_start_stuff
wo erhalte ich esim zugangsdaten für besteh;account_start_stuff
wo find ich mein qr code;account_start_stuff
wo finde ich den code zum scannen;account_start_stuff
wo finde ich den qr code;account_start_stuff
wo kann ich die simkarte aktivieren;account_start_stuff
hallo ch möchte ein mobiltelefon anlegen;account_start_stuff
hallo wie kann ich die mobilfunknummer aktivieren;account_start_stuff
hallo wie lege ich ein mobiltelefon an;account_start_stuff
ich kann keinen mobilfunktarif zum iphone hinzufügen;account_start_stuff
ich möchte ein mobiltelefon verknüpfen;account_start_stuff
mobile geräte integrieren;account_start_stuff
mobile ios telefon anlegen;account_start_stuff
mobiles gerät inzufügen;account_start_stuff
mobilfunk aktivieren;account_start_stuff
mobilfunk anschluß buchen;account_start_stuff
mobilfunk hinzufügen;account_start_stuff
mobilfunk nicht aktiviert;account_start_stuff
mobiltelefon aktivieren;account_start_stuff
sipgate quadrat mobilfunk buchen;account_start_stuff
wie erhalte ich eine mobil nummer;account_start_stuff
wie richte ich eine simquadrat nummer ein;account_start_stuff
wo kann ich mobilfunk einrichten;account_start_stuff
aufladung aktivieren;account_start_stuff
hallo wie kann ich eine rufnummernmitnahme beauftragen;account_start_stuff
hallo wie kann man die rufnummerübernahme beantragen;account_start_stuff
ich möchte eine rufnummernportierung;account_start_stuff
portierung beantragen;account_start_stuff
portierung beauftragen;account_start_stuff
portierung starten;account_start_stuff
rufnummermitnahme beantragen;account_start_stuff
wie beantrage ich eine portierung;account_start_stuff
wo beantrage ich eine portierung;account_start_stuff
guten morgen ich möchte sie bitten eine rufnummernportierung zu beantragen;account_start_stuff
ich möchte eine rufnummernportierung beantragen;account_start_stuff
wo beantrage ich die portierung;account_start_stuff
wo kann ich die rufnummernübernahme beantragen;account_start_stuff
hallo - wo kann ich die mobile flat zum account zubuchen;account_start_stuff
hallo geehrtes sipgate-team gerne würde ich die telefon-flat buchen;account_start_stuff
hallo ist es möglich einen weiteren account für unseren technischens sevice einzurichten;account_start_stuff
hallo sipgate ist es möglich auslandspakete zu buchen;account_start_stuff
ich möchte die deutschland-flatrate für 4,95 euro buchen finde die option aber nirgends;account_start_stuff
ich möchte gern ein siptrunk haben;account_start_stuff
ich möchte gerne einstunden paket buchen;account_start_stuff
ıch wıll den allnet flatt;account_start_stuff
kann ich ein weiteren vertrag mit den selben konditionen buchen;account_start_stuff
tarif buchen;account_start_stuff
warum kann ich kleine sprachflat bestellen;account_start_stuff
wie kann ich eine sprach flat-rate für meinen voip buchen;account_start_stuff
wo buchen wir minutenpakete;account_start_stuff
clinq aktivieren;account_start_stuff
guten tag ich würde gerne simquadrat bestellen;account_start_stuff
hallo ich möchte einen simquadrat-tarif buchen wie ist das aus dem kundenbereich möglich;account_start_stuff
hallo ich möchte simquadrat bestellen;account_start_stuff
hallo ich würde für uns gerne clinq nutzen wo kann ich diesen servce aktivieren;account_start_stuff
hallo wie kann ich für meine user clinq einrichten;account_start_stuff
hi könnt ihr bitte für uns clinq aktivieren vielen dank vorab und gruß kim muster;account_start_stuff
ich möchte clinq aktivieren wie geht das;account_start_stuff
simquadrat buchen;account_start_stuff
simquadrat einrichten;account_start_stuff
simquadrat kaufen;account_start_stuff
sipgate basic abonnieren;account_start_stuff
wie kann ich clinq aktivieren;account_start_stuff
wie kann ich clinq für mich aktivieren;account_start_stuff
wie kann ich simquadrat bestellen;account_start_stuff
wie kann ich sipgate basic abonnieren;account_start_stuff
benutzer anlegen;account_start_stuff
guten tag wo kann ich user anlegen;account_start_stuff
ich möchte einen neuen mitarbeiter einrichten;account_start_stuff
ich möchte einen zusätzlichen nutzer hinzufügen;account_start_stuff
teilnehmer anlegen;account_start_stuff
user anlegen;account_start_stuff
wie lege ich einen inklusive benutzer an;account_start_stuff
wie lege ich einen teilnehmer an;account_start_stuff
wo kann ich benutzer anlegen;account_start_stuff
wo kann ich nutzer anlegen;account_start_stuff
voip telefon gerät hinzufügen;account_start_stuff
anschluss hinzufügen;account_start_stuff
hi ich kann kein gerät hinzufügen;account_start_stuff
hallo ich kann kein telefon mehr zu meinem account hinzufügen;account_start_stuff
satellite hinzufügen;account_start_stuff
wo kann ich das gerät hinzufügen;account_start_stuff
guten abend ich möchte gerne eine 2 faktorauthentifikation einrichten bieten sie so etwas an;account_start_stuff
sim karten anfordern;account_start_stuff
guten tag ich möchte einen weiteren anschluss hinzufügen;account_start_stuff
hallo rufumleitung aktivieren;account_start_stuff
hallo es ist nicht möglich für meinen account die weiterleitung einzurichten;account_start_stuff
ich würde gerne eine esim buchen;account_start_stuff
wie richte ich nun eine weiterleitung ein;account_start_stuff
ich brauche nur eine festnetznr für mein handy;account_start_stuff
wie kann ich eine simkarte aktivieren;account_start_stuff
ich benötige eine italienische rufnummer;account_start_stuff
sim aktivierung;account_start_stuff
datenvolumen buchen ohne automatische aufladung;account_start_stuff
wie kann ich ein fax hinzufügen;account_start_stuff
ich kann kein endgerät anlegen;account_start_stuff
sim karte nicht aktiviert;account_start_stuff
fax kann nicht eingerichtet werden;account_start_stuff
ich brauche noch eine simkart;account_start_stuff
hallo ich möchte eine zweite simkarte bestellen;account_start_stuff
einrichtung weiterleitung;account_start_stuff
können sie meine sim bitte freischalten;account_start_stuff
hallo ich schaffe es leider nicht eine weiterleitung einzurichten;account_start_stuff
ich kann kein mobiltelefon anlegen;account_start_stuff
wie aktiviere ich die 2fa;account_start_stuff
telefonbuch einrichten;account_start_stuff
2fa aktivieren;account_start_stuff
wie kann ich eine esimkarte erstellen;account_start_stuff
hallo kann ich auch ein virtuelles faxgerät einrichten wenn ja wie;account_start_stuff
neue sim beställen;account_start_stuff
hallo gibt es ein möglichkeit eine italienische rufnummer bei sipgate zu buchen und zu nutzen;account_start_stuff
wie aktiviere ich die zwei-faktor-authentifizierung;account_start_stuff
kann kein datensnack buchen;account_start_stuff
datenoption buchen;account_start_stuff
hallo wie kann ich weiterleitungen einrichten;account_start_stuff
ich finde den feature store nicht mehr wo kann ich eine faxnummer bestellen;account_start_stuff
wie kann ich jetzt eine rufumleitung einrichten;account_start_stuff
3 rufnummern buchen;account_start_stuff
esimkarte aktivieren;account_start_stuff
kann ich fax aktivieren;account_start_stuff
wie bekomme ich meine esim;account_start_stuff
hallo gern möchte ich eine sim karte;account_start_stuff
wie kann ich meine sim karte aktivieren;account_start_stuff
umleitung einrichten;account_start_stuff
simkarten bestellen;account_start_stuff
hallo ich möchte ein festnetztelefon anmelde;account_start_stuff
ich benötige meine esim;account_start_stuff
hallo wie kann ich ein fax einrichten;account_start_stuff
rufumleitung aktivieren;account_start_stuff
kostenlose weiterleitung einrichten;account_start_stuff
wie richtg ich eine rufumleitung richtig ein;account_start_stuff
simkarte nicht aktiviert;account_start_stuff
weiterleitung aktivieren;account_start_stuff
fax empfangen buchen;account_start_stuff
guten tag ich hätte eine frage zur einrichtung einer gruppenweiterleitung;account_start_stuff
fax nr buchen;account_start_stuff
guten morgenkann man sipgate auch eine faxnummer einrichten;account_start_stuff
neue telefon einrichten;account_start_stuff
hallo wie kann ich e sim aktivieren;account_start_stuff
aktivieren;account_start_stuff
können sie meine nummern aktivieren;account_start_stuff
ich möchte ein neues voip telefon registrieren;account_start_stuff
wie kann ich einen anrufbeantworter aktivieren;account_start_stuff
wie kann man eine zusätzliche leitung buchen;account_start_stuff
brauche telefonnummer;account_start_stuff
kann ich wie früher weiterleitung ein- und ausschalten;account_start_stuff
